@W: CD638 :"C:\Users\Yair\Desktop\alu02\alu02\alu\topalu00.vhdl":52:16:52:22|Signal soutssb is undriven. Either assign the signal a value or remove the signal declaration.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":26:4:26:5|Pruning unused register outFlagbarrelrotL_cl_6. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotL_cl_7(7). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotL_cl_7(6). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotL_cl_7(5). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotL_cl_7(4). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotL_cl_7(3). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotL_cl_7(2). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotL_cl_7(1). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotL_cl_7(0). Make sure that there are no unused intermediate registers.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotL00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":26:4:26:5|Pruning unused register outFlagbarrelshiftR_cl_6. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftR_cl_7(7). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftR_cl_7(6). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftR_cl_7(5). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftR_cl_7(4). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftR_cl_7(3). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftR_cl_7(2). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftR_cl_7(1). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftR_cl_7(0). Make sure that there are no unused intermediate registers.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftR00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":26:4:26:5|Pruning unused register outFlagbarrelshiftL_cl_6. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftL_cl_7(7). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftL_cl_7(6). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftL_cl_7(5). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftL_cl_7(4). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftL_cl_7(3). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftL_cl_7(2). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftL_cl_7(1). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":26:4:26:5|Pruning unused register outRDbarrelshiftL_cl_7(0). Make sure that there are no unused intermediate registers.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelshiftL00.vhdl":27:7:27:34|Sharing sequential element outRDbarrelshiftL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":25:4:25:5|Pruning unused register outFlagrotL_cl_6. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":25:4:25:5|Pruning unused register outRDrotL_cl_6(7). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":25:4:25:5|Pruning unused register outRDrotL_cl_6(6). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":25:4:25:5|Pruning unused register outRDrotL_cl_6(5). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":25:4:25:5|Pruning unused register outRDrotL_cl_6(4). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":25:4:25:5|Pruning unused register outRDrotL_cl_6(3). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":25:4:25:5|Pruning unused register outRDrotL_cl_6(2). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":25:4:25:5|Pruning unused register outRDrotL_cl_6(1). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":25:4:25:5|Pruning unused register outRDrotL_cl_6(0). Make sure that there are no unused intermediate registers.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":26:7:26:26|Sharing sequential element outRDrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":26:7:26:26|Sharing sequential element outRDrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":26:7:26:26|Sharing sequential element outRDrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":26:7:26:26|Sharing sequential element outRDrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":26:7:26:26|Sharing sequential element outRDrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":26:7:26:26|Sharing sequential element outRDrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":26:7:26:26|Sharing sequential element outRDrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotL00.vhdl":26:7:26:26|Sharing sequential element outRDrotL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":25:4:25:5|Pruning unused register outFlagrotR_cl_6. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":25:4:25:5|Pruning unused register outRDrotR_cl_6(7). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":25:4:25:5|Pruning unused register outRDrotR_cl_6(6). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":25:4:25:5|Pruning unused register outRDrotR_cl_6(5). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":25:4:25:5|Pruning unused register outRDrotR_cl_6(4). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":25:4:25:5|Pruning unused register outRDrotR_cl_6(3). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":25:4:25:5|Pruning unused register outRDrotR_cl_6(2). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":25:4:25:5|Pruning unused register outRDrotR_cl_6(1). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":25:4:25:5|Pruning unused register outRDrotR_cl_6(0). Make sure that there are no unused intermediate registers.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":26:7:26:26|Sharing sequential element outRDrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":26:7:26:26|Sharing sequential element outRDrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":26:7:26:26|Sharing sequential element outRDrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":26:7:26:26|Sharing sequential element outRDrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":26:7:26:26|Sharing sequential element outRDrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":26:7:26:26|Sharing sequential element outRDrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":26:7:26:26|Sharing sequential element outRDrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\rotR00.vhdl":26:7:26:26|Sharing sequential element outRDrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":25:4:25:5|Pruning unused register outFlagshiftR_cl_6. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":25:4:25:5|Pruning unused register outRDshiftR_cl_6(7). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":25:4:25:5|Pruning unused register outRDshiftR_cl_6(6). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":25:4:25:5|Pruning unused register outRDshiftR_cl_6(5). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":25:4:25:5|Pruning unused register outRDshiftR_cl_6(4). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":25:4:25:5|Pruning unused register outRDshiftR_cl_6(3). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":25:4:25:5|Pruning unused register outRDshiftR_cl_6(2). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":25:4:25:5|Pruning unused register outRDshiftR_cl_6(1). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":25:4:25:5|Pruning unused register outRDshiftR_cl_6(0). Make sure that there are no unused intermediate registers.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":26:7:26:28|Sharing sequential element outRDshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":26:7:26:28|Sharing sequential element outRDshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":26:7:26:28|Sharing sequential element outRDshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":26:7:26:28|Sharing sequential element outRDshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":26:7:26:28|Sharing sequential element outRDshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":26:7:26:28|Sharing sequential element outRDshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":26:7:26:28|Sharing sequential element outRDshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftR00.vhdl":26:7:26:28|Sharing sequential element outRDshiftR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":25:4:25:5|Pruning unused register outFlagshiftL_cl_6. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":25:4:25:5|Pruning unused register outRDshiftL_cl_6(7). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":25:4:25:5|Pruning unused register outRDshiftL_cl_6(6). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":25:4:25:5|Pruning unused register outRDshiftL_cl_6(5). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":25:4:25:5|Pruning unused register outRDshiftL_cl_6(4). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":25:4:25:5|Pruning unused register outRDshiftL_cl_6(3). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":25:4:25:5|Pruning unused register outRDshiftL_cl_6(2). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":25:4:25:5|Pruning unused register outRDshiftL_cl_6(1). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":25:4:25:5|Pruning unused register outRDshiftL_cl_6(0). Make sure that there are no unused intermediate registers.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":26:7:26:28|Sharing sequential element outRDshiftL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":26:7:26:28|Sharing sequential element outRDshiftL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":26:7:26:28|Sharing sequential element outRDshiftL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":26:7:26:28|Sharing sequential element outRDshiftL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":26:7:26:28|Sharing sequential element outRDshiftL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":26:7:26:28|Sharing sequential element outRDshiftL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\shiftL00.vhdl":26:7:26:28|Sharing sequential element outRDshiftL_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
